time (milliseconds since 1970-01-01),longwave (W/m^2)
1.50505344E12,1.0029999657490407E-6
1.5050535E12,7.68535016959504E-7
1.50505356E12,6.9671500568802E-7
1.50505362E12,6.728340053996362E-7
1.50505368E12,6.573969812961877E-7
1.50505374E12,6.456069741034298E-7
1.5050538E12,6.330329824777436E-7
1.50505386E12,6.274040060816333E-7
1.50505392E12,6.180180207593367E-7
1.50505398E12,6.197359994075669E-7
1.50505404E12,6.201889846124686E-7
1.5050541E12,6.117520001680532E-7
1.50505416E12,6.085199970584654E-7
1.50505422E12,5.995639753564319E-7
1.50505428E12,5.893670049772481E-7
1.50505434E12,5.833729801452137E-7
1.5050544E12,5.810210268464289E-7
1.50505446E12,5.725780169996142E-7
1.50505452E12,5.64104993827641E-7
1.50505458E12,5.621150194201618E-7
1.50505464E12,5.559639930652338E-7
1.5050547E12,5.536909952752467E-7
1.50505476E12,5.500850193129736E-7
1.50505482E12,5.513509790944227E-7
1.50505488E12,5.474830118146201E-7
1.50505494E12,5.450190201372607E-7
1.505055E12,5.396819915404194E-7
1.50505506E12,5.266709877105313E-7
1.50505512E12,5.158020144335751E-7
1.50505518E12,5.137209768690809E-7
1.50505524E12,5.065750201538322E-7
1.5050553E12,5.03149976793793E-7
1.50505536E12,5.017810167373682E-7
1.50505542E12,4.971669795850175E-7
1.50505548E12,4.874980277236318E-7
1.50505554E12,4.852270194533048E-7
1.5050556E12,4.78895003652724E-7
1.50505566E12,4.763049901157501E-7
1.50505572E12,4.726539941657393E-7
1.50505578E12,4.786239742315956E-7
1.50505584E12,5.028659870731644E-7
1.5050559E12,5.143419912201352E-7
1.50505596E12,5.330790031621291E-7
1.50505602E12,5.08926973452617E-7
1.50505608E12,4.812890210814658E-7
1.50505614E12,4.7301500671892427E-7
1.5050562E12,4.7147798909463745E-7
1.50505626E12,4.706639913365507E-7
1.50505632E12,4.719329922409088E-7
1.50505638E12,4.7084398602237343E-7
1.50505644E12,4.684019927481131E-7
1.5050565E12,4.6336398895618913E-7
1.50505656E12,4.590849869146041E-7
1.50505662E12,4.6017100885364925E-7
1.50505668E12,4.6283901156130014E-7
1.50505674E12,4.589039974689513E-7
1.5050568E12,4.579090102652117E-7
1.50505686E12,4.857699877902633E-7
1.50505692E12,5.671569738296967E-7
1.50505698E12,5.639250275635277E-7
1.50505704E12,5.727890197704255E-7
1.5050571E12,7.7867798609077E-7
1.50505716E12,1.0482300467629102E-6
1.50505722E12,6.991569989622803E-7
1.50505728E12,5.274579848446592E-7
1.50505734E12,4.950870220454817E-7
1.5050574E12,4.834179776480596E-7
1.50505746E12,4.742819896819128E-7
1.50505752E12,4.659000012452452E-7
1.50505758E12,4.56824011507706E-7
1.50505764E12,4.536580036074156E-7
1.5050577E12,4.6074001147644594E-7
1.50505776E12,4.815179863726371E-7
1.50505782E12,5.272900125419255E-7
1.50505788E12,7.122220040400862E-7
1.50505794E12,1.3243900411907816E-6
1.505058E12,2.275729912071256E-6
1.50505806E12,2.819459950842429E-6
1.50505812E12,3.028110086233937E-6
1.50505818E12,3.0404501103475923E-6
1.50505824E12,3.2053499126050156E-6
1.5050583E12,3.7655099731637165E-6
1.50505836E12,4.868039923167089E-6
1.50505842E12,6.327879873424536E-6
1.50505848E12,8.514940418535843E-6
1.50505854E12,1.268659980269149E-5
1.5050586E12,1.980480010388419E-5
1.50505866E12,3.0644700018456206E-5
1.50505872E12,4.5186199713498354E-5
1.50505878E12,6.777780072297901E-5
1.50505884E12,1.1134899978060275E-4
1.5050589E12,1.7615700198803097E-4
1.50505896E12,2.674380084499717E-4
1.50505902E12,3.772320051211864E-4
1.50505908E12,4.904689849354327E-4
1.50505914E12,5.941200070083141E-4
1.5050592E12,6.710410234518349E-4
1.50505926E12,7.247449830174446E-4
1.50505932E12,7.673529908061028E-4
1.50505938E12,7.984300027601421E-4
1.50505944E12,8.182880119420588E-4
1.5050595E12,8.234939887188375E-4
1.50505956E12,8.280830224975944E-4
1.50505962E12,8.166090119630098E-4
1.50505968E12,8.013480110093951E-4
1.50505974E12,7.849030080251396E-4
1.5050598E12,7.614840287715197E-4
1.50505986E12,7.446479867212474E-4
1.50505992E12,7.298800046555698E-4
1.50505998E12,7.160499808378518E-4
1.50506004E12,7.020860211923718E-4
1.5050601E12,6.858740234747529E-4
1.50506016E12,6.671450100839138E-4
1.50506022E12,6.475539994426072E-4
1.50506028E12,6.277199718169868E-4
1.50506034E12,6.073159747757018E-4
1.5050604E12,5.903569981455803E-4
1.50506046E12,5.721090128645301E-4
1.50506052E12,5.535359960049391E-4
1.50506058E12,5.371019942685962E-4
1.50506064E12,5.202490137889981E-4
1.5050607E12,5.014570197090507E-4
1.50506076E12,4.846969968639314E-4
1.50506082E12,4.67253994429484E-4
1.50506088E12,4.507839912548661E-4
1.50506094E12,4.346329951658845E-4
1.505061E12,4.1915199835784733E-4
1.50506106E12,4.0470200474373996E-4
1.50506112E12,3.919159935321659E-4
1.50506118E12,3.775100049097091E-4
1.50506124E12,3.6326798726804554E-4
1.5050613E12,3.501210012473166E-4
1.50506136E12,3.3752599847503006E-4
1.50506142E12,3.259090008214116E-4
1.50506148E12,3.148200048599392E-4
1.50506154E12,3.045499906875193E-4
1.5050616E12,2.9432898736558855E-4
1.50506166E12,2.843970141839236E-4
1.50506172E12,2.750160056166351E-4
1.50506178E12,2.654659911058843E-4
1.50506184E12,2.568950003478676E-4
1.5050619E12,2.4855899391695857E-4
1.50506196E12,2.4085899349302053E-4
1.50506202E12,2.3347200476564467E-4
1.50506208E12,2.2632500622421503E-4
1.50506214E12,2.1870099590159953E-4
1.5050622E12,2.116029936587438E-4
1.50506226E12,2.048820024356246E-4
1.50506232E12,1.989879965549335E-4
1.50506238E12,1.946059928741306E-4
1.50506244E12,1.8908899801317602E-4
1.5050625E12,1.8329700105823576E-4
1.50506256E12,1.773389958543703E-4
1.50506262E12,1.732319942675531E-4
1.50506268E12,1.683750015217811E-4
1.50506274E12,1.643029972910881E-4
1.5050628E12,1.602929987711832E-4
1.50506286E12,1.5621799684595317E-4
1.50506292E12,1.5271900338120759E-4
1.50506298E12,1.491330040153116E-4
1.50506304E12,1.45725003676489E-4
1.5050631E12,1.4311299310065806E-4
1.50506316E12,1.4022500545252115E-4
1.50506322E12,1.3709699851460755E-4
1.50506328E12,1.3434499851427972E-4
1.50506334E12,1.3136700727045536E-4
1.5050634E12,1.2840300041716546E-4
1.50506346E12,1.2611999409273267E-4
1.50506352E12,1.2431299546733499E-4
1.50506358E12,1.223800063598901E-4
1.50506364E12,1.202040002681315E-4
1.5050637E12,1.1790500138886273E-4
1.50506376E12,1.1599600111367181E-4
1.50506382E12,1.137630024459213E-4
1.50506388E12,1.1186899791937321E-4
1.50506394E12,1.1063599959015846E-4
1.505064E12,1.0832599946297705E-4
1.50506406E12,1.067810007953085E-4
1.50506412E12,1.0557899804553017E-4
1.50506418E12,1.0420200123917311E-4
1.50506424E12,1.0277100227540359E-4
1.5050643E12,1.0118199861608446E-4
1.50506436E12,9.955390123650432E-5
1.50506442E12,9.820459672482684E-5
1.50506448E12,9.74490976659581E-5
1.50506454E12,9.635419701226056E-5
1.5050646E12,9.501900058239698E-5
1.50506466E12,9.391039930051193E-5
1.50506472E12,9.275109914597124E-5
1.50506478E12,9.196260361932218E-5
1.50506484E12,9.13558978936635E-5
1.5050649E12,8.998240082291886E-5
1.50506496E12,8.909030293580145E-5
1.50506502E12,8.76479025464505E-5
1.50506508E12,8.673030242789537E-5
1.50506514E12,8.629030344309285E-5
1.5050652E12,8.490990148857236E-5
1.50506526E12,8.41525979922153E-5
1.50506532E12,8.305849769385532E-5
1.50506538E12,8.268540113931522E-5
1.50506544E12,8.195269765565172E-5
1.5050655E12,8.095840166788548E-5
1.50506556E12,8.025480201467872E-5
1.50506562E12,7.951729639898986E-5
1.50506568E12,7.84919029683806E-5
1.50506574E12,7.786520291119814E-5
1.5050658E12,7.730870129307732E-5
1.50506586E12,7.670949707971886E-5
1.50506592E12,7.603869744343683E-5
1.50506598E12,7.538570207543671E-5
1.50506604E12,7.490110147045925E-5
1.5050661E12,7.43670025258325E-5
1.50506616E12,7.358579750871286E-5
1.50506622E12,7.311000081244856E-5
1.50506628E12,7.208169699879363E-5
1.50506634E12,7.131179881980643E-5
1.5050664E12,7.084580283844844E-5
1.50506646E12,7.019229815341532E-5
1.50506652E12,6.914300320204347E-5
1.50506658E12,6.815959932282567E-5
1.50506664E12,6.759579991921782E-5
1.5050667E12,6.697270146105438E-5
1.50506676E12,6.638759805355221E-5
1.50506682E12,6.54046016279608E-5
1.50506688E12,6.471280357800424E-5
1.50506694E12,6.386169843608513E-5
1.505067E12,6.295079947449267E-5
1.50506706E12,6.216260226210579E-5
1.50506712E12,6.154600123409182E-5
1.50506718E12,6.094179843785241E-5
1.50506724E12,6.024779941071756E-5
1.5050673E12,5.9245499869575724E-5
1.50506736E12,5.847850115969777E-5
1.50506742E12,5.782609878224321E-5
1.50506748E12,5.696820153389126E-5
1.50506754E12,5.644069824484177E-5
1.5050676E12,5.567570042330772E-5
1.50506766E12,5.4805899708298966E-5
1.50506772E12,5.4077201639302075E-5
1.50506778E12,5.366390178096481E-5
1.50506784E12,5.3401301556732506E-5
1.5050679E12,5.2930899983039126E-5
1.50506796E12,5.255610085441731E-5
1.50506802E12,5.203179898671806E-5
1.50506808E12,5.1386701670708135E-5
1.50506814E12,5.1123199227731675E-5
1.5050682E12,5.0690101488726214E-5
1.50506826E12,5.0500901124905795E-5
1.50506832E12,5.030259853811003E-5
1.50506838E12,4.941629958921112E-5
1.50506844E12,4.9385798774892464E-5
1.5050685E12,4.918749982607551E-5
1.50506856E12,4.897909821011126E-5
1.50506862E12,4.851670018979348E-5
1.50506868E12,4.798040026798844E-5
1.50506874E12,4.7654801164753735E-5
1.5050688E12,4.741419979836792E-5
1.50506886E12,4.7098299546632916E-5
1.50506892E12,4.675529999076389E-5
1.50506898E12,4.64076001662761E-5
1.50506904E12,4.6091699914541095E-5
1.5050691E12,4.557930151349865E-5
1.50506916E12,4.520010043052025E-5
1.50506922E12,4.502179945120588E-5
1.50506928E12,4.4894000893691555E-5
1.50506934E12,4.4543099647853523E-5
1.5050694E12,4.410259862197563E-5
1.50506946E12,4.3607400584733114E-5
1.50506952E12,4.316449849284254E-5
1.50506958E12,4.293509846320376E-5
1.50506964E12,4.2519601265667006E-5
1.5050697E12,4.212819840176962E-5
1.50506976E12,4.179459938313812E-5
1.50506982E12,4.1331099055241793E-5
1.50506988E12,4.1092000174103305E-5
